cycle,R_fit,hA_fit
2,0.07418956880738065,0.0181364034861217
4,0.0729976872972486,0.017482412710053914
6,0.07251428035699949,0.017553835450038968
8,0.07073118396325372,0.016911454430319172
10,0.06965387834953088,0.01663148429410293
12,0.07003137570315283,0.016673683605685927
14,0.06962890264201904,0.01637081838594834
16,0.06901095993457078,0.016334948876275946
18,0.0683503140455918,0.015973720063069095
20,0.06737842277442392,0.015572627486216331
22,0.06617905453679644,0.014983847520099305
25,0.06789739396051542,0.015583477628491233
27,0.06663661327537877,0.014936499571879806
29,0.06686297093211163,0.015069215368542934
31,0.06663783633113175,0.01542140243238771
33,0.06631440349718283,0.015280903058514041
35,0.06565251140616452,0.014800838899342883
37,0.06565104801537383,0.014624314875065238
39,0.06539585201892996,0.014387177118665096
42,0.07046116881220468,0.01715705119338279
46,0.06891494452705901,0.01543531100856164
50,0.06838179472363044,0.01587690701222226
54,0.06793002199473377,0.016129607149539375
58,0.06724417794469922,0.015848818439241137
62,0.06633752104216067,0.0153308638518873
66,0.06688038005707987,0.015875075648085317
70,0.06614281390938463,0.015398712388832017
74,0.06570800110596203,0.015106515252584236
78,0.0664441473151607,0.015547115648346883
82,0.0660563068444662,0.01510824417853426
86,0.06913148770951554,0.016190954271146297
90,0.07012989785657064,0.01670953720508674
94,0.06937875110670064,0.016777217124960657
98,0.06835564218290749,0.016795147592144614
102,0.06713927480258217,0.016273761653300828
106,0.06982132701177089,0.01644208318646456
110,0.06847089067580778,0.01621055744192378
114,0.06852712192910576,0.016260035204569694
118,0.0682288797053829,0.01614022961323548
122,0.06905009994578089,0.01572534391123983
126,0.07107634542662021,0.015766151513289074
130,0.0716556626232498,0.01587255540545852
134,0.06663922943215486,0.01423486038400864
136,0.06909976836297294,0.015829019350112696
140,0.06867032888508004,0.015777510976052553
144,0.06895814880722273,0.015968005721281327
148,0.06890367197029316,0.015557467683297866
150,0.0771053309975386,0.015683664020089267
154,0.07379868682036003,0.01551296061591124
158,0.07227762489858498,0.015853573585182464
162,0.0706191183288717,0.015323067918179533
166,0.07004162425279088,0.015315786966645225
170,0.06961710644298527,0.01464505836923428
174,0.07077338000586755,0.014334496794303687
178,0.07011631003099153,0.014617382379637979
182,0.0700492949897727,0.014592949382713508
186,0.06987048781584362,0.014409803552001381
190,0.070925570250178,0.014126541942283006
194,0.07203217309165437,0.014506033660564726
198,0.0709067495514893,0.013998640503960842
202,0.07098971462795518,0.014058600733608432
206,0.07086672992105457,0.014119122404239765
210,0.07104608999405133,0.013299352419088297
214,0.06765079637230542,0.012600318219354438
216,0.07204015059916058,0.013590640518842515
220,0.07156891514321717,0.013123193734464463
224,0.07213009433519992,0.013450058681014737
228,0.07197122660744575,0.013117119372633958
232,0.07238507751009263,0.0131131446695537
236,0.07227921224352489,0.012853361300742815
240,0.07232402470078897,0.012653417212350441
244,0.0734077819341158,0.013265753866976263
248,0.07344827069765637,0.012992274197901605
252,0.07322763858224937,0.012695800469382484
256,0.07425609492783378,0.013257566702093722
260,0.07399342134777591,0.012968262754950666
264,0.07234553890863485,0.012663023118170335
266,0.07460499499737387,0.013256224207358164
270,0.07392710652163366,0.013204257553984263
274,0.07430367702626735,0.013275714858843818
278,0.07491530097656435,0.013099215572190268
282,0.07584540759544918,0.01266140007962694
286,0.07636344483931326,0.012798852518324452
290,0.07609824780904703,0.01264382782733633
294,0.07622433653922989,0.012984074840913329
298,0.07659392428859606,0.013257238936091719
302,0.07747951672049656,0.01282085472367159
306,0.0789260977979416,0.013247689054908142
310,0.07895536389221537,0.013092363274107592
313,0.07552368425839509,0.0130094717266217
316,0.07748207010415836,0.012794072782537913
320,0.07753810494306664,0.012590196096416999
324,0.07868585813206708,0.013289323624138758
328,0.07828910791251335,0.01293680216901948
332,0.07900301470428006,0.013253832115082124
336,0.0789797713215376,0.012934614153497266
340,0.0798190506793109,0.013230209249173633
344,0.07980480312795173,0.013011793811955745
348,0.0812354388260313,0.013659162994771283
352,0.08174457440468456,0.013715159030593352
356,0.08204987505447896,0.01367096267423011
360,0.08235373288691304,0.013700027828056847
364,0.08073767569246403,0.01290699866529743
367,0.08247509460516649,0.013356548272625638
371,0.08276761101068289,0.013175318505614365
375,0.08350511426630762,0.013554637484160116
379,0.08332294530033671,0.013414338256759849
383,0.08489968637358745,0.014070605103066649
387,0.0845141198533285,0.013375673010129471
391,0.08567737929186013,0.013616546778046332
395,0.08642496178647521,0.014342981042413112
399,0.08647219148475647,0.014296456931265137
403,0.08701030337648824,0.013986979810397471
407,0.08844844943483353,0.014357876473925868
411,0.08812209753071838,0.014293194272342595
415,0.08793009506558583,0.014245476580949086
419,0.0878674232970889,0.014203192587227792
423,0.08830905646883427,0.013917032148469595
427,0.09013281888998263,0.014433663422116683
431,0.08434061944808371,0.013082503753282466
433,0.08679913855043209,0.013741235428502857
437,0.08798336659375913,0.014415798609948799
441,0.088443326604479,0.014739607089677038
445,0.08861607077423103,0.014613532895349312
449,0.08907912871113507,0.014698895904025079
453,0.0890228329211,0.014465739477628132
457,0.08971693319329575,0.014731673403500371
461,0.0901746710948162,0.015024769033565196
465,0.0905490705362351,0.015135286866048694
469,0.09076153080441876,0.014952348435812536
473,0.09085577505007547,0.0148280661519672
477,0.09149990221493155,0.015136699573342578
481,0.09099947327296357,0.01476335437336066
483,0.09167710522816551,0.014993812480458578
485,0.09334005941163798,0.015513173274794399
489,0.09278821595620806,0.01510567782377113
493,0.09362075613001174,0.015736825617953844
497,0.09425068538925924,0.015331535723844616
501,0.09457908549988711,0.01526898318141043
505,0.09424959156374633,0.015318929943229505
509,0.09399712430769765,0.01535766692405289
513,0.09484072991255353,0.015683871698184023
517,0.09566669569185833,0.015491952052254674
521,0.09619291828016358,0.015875943313997554
525,0.09612321961668252,0.016057541389508174
529,0.09620049143562925,0.016229076016782674
533,0.09748268437538495,0.01668695356537683
537,0.09804806731577152,0.01631038253433373
541,0.09723616427694752,0.01599712362454011
545,0.09589372352968854,0.016408293381467005
548,0.092476528054687,0.014980164438826264
552,0.09520899713581811,0.01576657218200295
556,0.09600446777983367,0.01623996612137035
560,0.09694781526094425,0.016591503383909356
564,0.09707139494212803,0.016509590255241915
568,0.09805154490149906,0.016894269159300458
572,0.09740047452368306,0.016409343613863703
576,0.09832747047804237,0.016841046284622754
580,0.09856836359304028,0.016856946636818592
584,0.09845741329098018,0.01659174718041529
588,0.09807752580030192,0.01612084944878672
592,0.09948728628992821,0.01679088032027472
596,0.09880198098918626,0.01642492340215362
600,0.09954024826358528,0.01674847259884306
604,0.10070450292876398,0.01719421400878736
608,0.10073042490278043,0.01705055076030932
612,0.09305557993225153,0.015209683439115575
614,0.09737905695739543,0.017437967799758154
